,display,Test image,left,right,work,worked,shirked,randomise_trials,Likert
60,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
61,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
62,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
63,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
64,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
65,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
66,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
67,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
68,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
69,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
70,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
71,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
72,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
73,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
74,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
75,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
76,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
77,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
78,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
79,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
80,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
81,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
82,trials,s1.PNG,1,0,1,w1.PNG,sh1.PNG,1,"1, 2, 3, 4, 5, 6, 7"
83,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
84,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
85,trials,s0.PNG,0,1,1,w0.PNG,sh0.PNG,1,"1, 2, 3, 4, 5, 6, 7"
